,,2,25HR-JS,, , ,,, , ,,,,,
,,3,25HR-CS,, , , ,, , ,,,,,
,8-Apr,Wed 1,25HR-JA, ,English OV1 aud 341,"English AT aud 340
English OV2 aud 341", ,"High Math
Test 1
aud 327", , ,,,,,
,,2,25HR-JS, ,,,,, ,Web Dev JS Lc (online),,,,,
,,3,25HR-CS, ,,, ,, , ,,,,,
,9-Apr,Thu 1,25HR-JA, ,"High Math Lc
aud 327",High Math Pr1 aud 345, ,Digital Soc aud 339,Digital Soc aud 339, ,,,,,
,,2,25HR-JS, ,,,,,, ,,,,,
,,3,25HR-CS,High Math Pr2 aud 345,,OOP CS Pr aud 330, ,,, ,,,,,
,10-Apr,Fri 1,25HR-JA,OOP Java Lc online, ,"Digital Soc
ML aud 342
RK aud 340", ,English OV2 aud 341,OOP Java Pr aud 325, ,,,,,
,,2,25HR-JS, , ,,,, , ,,,,,
,,3,25HR-CS,OOP CS Lc (online),OOP CS Lc (online),, ,, , ,,,,,
,11-Apr,Sat 1,25HR-JA, , , , , , , ,,,,,
,,2,25HR-JS, , , ,, , , ,,,,,
,,3,25HR-CS, , , , , , , ,,,,,
,12-Apr,Sun,, , , , , , , ,,,,,
7 Week,13-Apr,Mon 1,25HR-JA, ,English OV1 aud 341,"English AT aud 340
English OV2 aud 341", ,OOP Java Pr aud 325, ,"AlgorithmsAndDS Pr1
online",,,,,
,,2,25HR-JS, ,,,,Web Dev JS Pr aud 330, ,,,,,,
,,3,25HR-CS, ,,, , ,"AlgorithmsAndDS Pr2 online
16.20-17.50", ,,,,,
,14-Apr,Tue 1,25HR-JA,"Software Testing
(online)", ,"???????? ???????????
??????????? ???????? ?? ???????: ????????????, ???????????
?????? ? 12.15
aud 327", ,"English AT aud 340
English OV1 aud 341", , ,,,,,
,,2,25HR-JS,, ,,,, , ,,,,,
,,3,25HR-CS,, ,, ,, , ,,,,,
,15-Apr,Wed 1,25HR-JA, , ,"English AT aud 340
English NS2 online", , , , ,,,,,
,,2,25HR-JS, , ,,, , , ,,,,,
,,3,25HR-CS, , ,, , , , ,,,,,
